Team1,Team2,Match_type,Date_,Date,team1_Goal_Times,team2_Goal_Times,team1_Matches,team2_Matches,team1_Rest: Days (Hours),team2_Rest: Days (Hours),team1_Wins,team2_Wins,team1_Draws,team2_Draws,team1_Losing,team2_Losing,Form_points_team1,Form_points_team2,team1_Goals scored,team2_Goals scored,team1_Goals conceded,team2_Goals conceded,team1_Goals scored per game,team2_Goals scored per game,team1_Goals conceded per game,team2_Goals conceded per game,team1_Clean sheets,team2_Clean sheets,team1_both teams to score,team2_both teams to score,team1_TU 2.5,team2_TU 2.5,team1_TO 2.5,team2_TO 2.5,team1_Shots ,team2_Shots ,team1_Shots  (competitor),team2_Shots  (competitor),team1_Shots on Target ,team2_Shots on Target ,team1_Shots on Target  (competitor),team2_Shots on Target  (competitor),team1_Possession ,team2_Possession ,team1_Possession  (competitor),team2_Possession  (competitor),team1_Corners ,team2_Corners ,team1_Corners  (competitor),team2_Corners  (competitor),team1_Fouls ,team2_Fouls ,team1_Fouls  (competitor),team2_Fouls  (competitor),team1_Offsides ,team2_Offsides ,team1_Offsides  (competitor),team2_Offsides  (competitor),team1_Yellow Cards ,team2_Yellow Cards ,team1_Yellow Cards  (competitor),team2_Yellow Cards  (competitor),team1_Red cards ,team2_Red cards ,team1_Red cards  (competitor),team2_Red cards  (competitor),H2H_available,H2H_matches,H2H_most_productive_draw,H2H_most_productive_match,h2h_Wins_team1,h2h_Wins_team2,h2h_Scored goals_team1,h2h_Scored goals_team2,h2h_Goals match average_team1,h2h_Goals match average_team2,h2h_Biggest win_team1,h2h_Biggest win_team2,date_x,Home_Elo,change_x,date_y,Away_Elo,change_y,Elo_Diff,Abs_Elo_Diff,Elo_Home_Adv,Elo_Ratio
Canada,Guatemala,"Friendly International, 17.01.2026 21:00",17.01.2026,1/17/2026,,,10,10,60,60,5,4,3,2,2,4,18,14,16,13,3,13,1.6,1.3,0.3,1.3,7,1,2,7,2,4,8,6,10.7,12.9,6.1,11.3,4,4,1.9,4.1,48.9,47.5,49.5,52.5,5.1,5.3,2.9,4.6,13.6,11.9,16.3,12.3,2,2.1,1.1,1.4,2.2,1.8,2.2,1.9,0.3,0,0.4,0.1,TRUE,16,2:02,['3:2'],10,2,23,11,1.44,0.69,,,12/13/2025,1802,0,12/13/2025,1528,0,274,274,1852,1.179319372
Senegal,Morocco,"African Cup of Nations, final, 18.01.2026 13:00",18.01.2026,1/18/2026,,,10,10,4,3.9,8,9,1,1,1,0,25,28,29,17,4,3,2.9,1.7,0.4,0.3,7,8,2,2,6,3,4,7,13.78,13.6,6.56,6.8,7.22,5.6,2.56,1.3,62.22,55.4,37.78,44.6,5.56,5.4,3.11,2,16,14.22,12.57,15.67,1.57,2.44,1.86,1.22,1.89,1.5,1.67,2.5,0.11,0.1,0.11,0,TRUE,25,1:01,"['3:1', '1:3', '3:1']",5,14,13,31,0.52,1.24,,,12/13/2025,1803,0,12/13/2025,1830,0,-27,27,1853,0.985245902
Bolivia,Panama,"Friendly International, 18.01.2026 15:00",18.01.2026,1/18/2026,,,10,10,28,60.8,3,6,1,3,6,1,10,21,4,20,15,8,0.4,2,1.5,0.8,4,4,0,6,3,4,7,6,13.2,16.4,10.1,10.6,4.4,6.1,4.5,3.3,49.8,62.7,50.2,37.3,4.9,6.3,3.6,3.4,14,13.2,12.89,12.4,1.67,1.3,1.89,2.1,1.3,1.2,1.6,1.9,0.1,0,0.1,0,TRUE,6,,"['1:3', '1:3']",1,5,7,12,1.17,2,,,12/13/2025,1675,0,12/13/2025,1742,0,-67,67,1725,0.961538462
Senegal,Morocco,"African Cup of Nations, final, 18.01.2026 13:00",18.01.2026,1/18/2026,,,10,10,4,3.9,8,9,1,1,1,0,25,28,29,17,4,3,2.9,1.7,0.4,0.3,7,8,2,2,6,3,4,7,13.78,13.6,6.56,6.8,7.22,5.6,2.56,1.3,62.22,55.4,37.78,44.6,5.56,5.4,3.11,2,16,14.22,12.57,15.67,1.57,2.44,1.86,1.22,1.89,1.5,1.67,2.5,0.11,0.1,0.11,0,TRUE,25,1:01,"['3:1', '1:3', '3:1']",5,14,13,31,0.52,1.24,,,12/13/2025,1803,0,12/13/2025,1830,0,-27,27,1853,0.985245902
Panama,Mexico,"Friendly International, 22.01.2026 20:00",22.01.2026,1/22/2026,,,10,10,65,65,6,3,3,5,1,2,21,14,20,9,8,10,2,0.9,0.8,1,4,5,6,4,4,4,6,6,16.4,12,10.6,6.6,6.1,4.1,3.3,2.7,62.7,58.8,37.3,41.2,6.3,3.8,3.4,2.4,13.2,14.1,12.4,14.5,1.3,0.8,2.1,1.1,1.2,2.2,1.9,2.5,0,0.1,0,0,TRUE,27,2:02,['7:1'],2,19,16,50,0.59,1.85,,,12/13/2025,1742,0,12/13/2025,1835,0,-93,93,1792,0.949318801
Panama,Mexico,"Friendly International, 22.01.2026 20:00",22.01.2026,1/22/2026,,,10,10,65,65,6,3,3,5,1,2,21,14,20,9,8,10,2,0.9,0.8,1,4,5,6,4,4,4,6,6,16.4,12,10.6,6.6,6.1,4.1,3.3,2.7,62.7,58.8,37.3,41.2,6.3,3.8,3.4,2.4,13.2,14.1,12.4,14.5,1.3,0.8,2.1,1.1,1.2,2.2,1.9,2.5,0,0.1,0,0,TRUE,27,2:02,['7:1'],2,19,16,50,0.59,1.85,,,12/13/2025,1742,0,12/13/2025,1835,0,-93,93,1792,0.949318801
Bolivia,Mexico,"Friendly International, 25.01.2026 13:00",25.01.2026,1/25/2026,,,10,10,34.9,67.7,3,3,1,5,6,2,10,14,4,9,15,10,0.4,0.9,1.5,1,4,5,0,4,3,4,7,6,13.2,12,10.1,6.6,4.4,4.1,4.5,2.7,49.8,58.8,50.2,41.2,4.9,3.8,3.6,2.4,14,14.1,12.89,14.5,1.67,0.8,1.89,1.1,1.3,2.2,1.6,2.5,0.1,0.1,0.1,0,TRUE,13,0:00,['5:1'],1,10,5,21,0.38,1.62,,,12/13/2025,1675,0,12/13/2025,1835,0,-160,160,1725,0.91280654
Mexico,Iceland,"Friendly International, 25.02.2026 20:00",25.02.2026,2/25/2026,,,10,10,99,101.3,3,3,5,1,2,6,14,10,9,18,10,18,0.9,1.8,1,1.8,5,2,4,6,4,7,6,3,12,9.6,6.6,13.6,4.1,4.2,2.7,5.2,58.8,54.1,41.2,45.9,3.8,3.9,2.4,4.8,14.1,11.7,14.5,12.4,0.8,0.8,1.1,2.4,2.2,1.7,2.5,2.3,0.1,0.1,0,0.2,TRUE,5,0:00,"['2:1', '3:0']",3,0,6,1,1.2,0.2,,,12/13/2025,1835,0,12/13/2025,1566,0,269,269,1885,1.171775223
Brazil,France,"Friendly International, 26.03.2026 15:00",26.03.2026,3/26/2026,,,10,10,128,130.1,5,7,2,1,3,2,17,22,17,24,10,11,1.7,2.4,1,1.1,5,5,4,4,5,6,5,4,12.4,21.4,9.7,7.2,4.4,7.7,3.4,2.6,58.5,63.6,41.5,36.4,4.5,7.8,4,2.3,12,10.8,14.7,13.7,1.25,0.8,2.75,1.7,1.7,1.6,1.6,2,0,0.1,0,0,TRUE,16,2:02,['5:2'],7,5,27,20,1.69,1.25,,,12/13/2025,1979,0,12/13/2025,2062,0,-83,83,2029,0.959747818
Brazil,France,"Friendly International, 26.03.2026 15:00",26.03.2026,3/26/2026,,,10,10,128,130.1,5,7,2,1,3,2,17,22,17,24,10,11,1.7,2.4,1,1.1,5,5,4,4,5,6,5,4,12.4,21.4,9.7,7.2,4.4,7.7,3.4,2.6,58.5,63.6,41.5,36.4,4.5,7.8,4,2.3,12,10.8,14.7,13.7,1.25,0.8,2.75,1.7,1.7,1.6,1.6,2,0,0.1,0,0,TRUE,16,2:02,['5:2'],7,5,27,20,1.69,1.25,,,12/13/2025,1979,0,12/13/2025,2062,0,-83,83,2029,0.959747818
